#PicoHarp 300  Histogram Data			02/09/2013 15:34										
#channels per curve													
11000													
#display curve no.													
0	1	2	3	4	5								
memory block no.													
P-grnf1	P-grnf2	IRF1	IRF2	4	P_redfilter								
#ns/channel													
"0,0040"	"0,0040"	"0,0040"	"0,0040"	"0,0040"	"0,0040"								
Counts	Counts	Counts	Counts	Counts	Counts	t[ns]	Intens.	t[ns]	Intens.	t[ns]	Intens.	t[ns]	Intens.
23	6	2	5	0	0	1.5176	2	1.5816	0	1.5249	1	1.5973	0
31	5	2	3	0	3	1.5249	1	1.5889	1	1.5322	1	1.6046	0
19	7	3	5	0	6	1.5322	0	1.5962	0	1.5396	1	1.6119	0
10	7	1	4	0	8	1.5396	1	1.6036	0	1.5469	1	1.6193	0
22	12	1	5	0	3	1.5469	0	1.6109	0	1.5542	3	1.6266	0
23	7	1	8	0	4	1.5542	1	1.6182	0	1.5616	2	1.6339	0
13	10	0	4	0	8	1.5616	2	1.6255	0	1.5689	1	1.6413	0
14	8	1	5	0	6	1.5689	1	1.6329	0	1.5762	0	1.6486	0
23	7	1	11	0	6	1.5762	1	1.6402	0	1.5835	2	1.6559	0
12	10	4	8	0	4	1.5835	1	1.6475	0	1.5909	1	1.6632	0
22	12	2	2	0	3	1.5909	0	1.6549	0	1.5982	3	1.6706	0
18	6	3	5	0	4	1.5982	2	1.6622	0	1.6055	4	1.6779	1
30	3	4	5	0	4	1.6055	2	1.6695	0	1.6129	4	1.6852	0
20	9	2	9	0	4	1.6129	1	1.6769	0	1.6202	0	1.6926	0
16	12	2	6	0	4	1.6202	1	1.6842	0	1.6275	1	1.7001	0
25	15	7	4	0	3	1.6275	1	1.6915	0	1.6349	0	1.7072	0
19	7	1	4	0	3	1.6349	2	1.6989	0	1.6422	0	1.7146	1
23	8	3	8	0	6	1.6422	1	1.7062	0	1.6495	4	1.7219	0
16	7	0	4	0	2	1.6495	0	1.7135	0	1.6569	1	1.7292	0
24	8	1	6	0	3	1.6569	3	1.7209	0	1.6642	1	1.7366	0
18	5	2	4	0	6	1.6642	3	1.7282	0	1.6715	1	1.7439	0
14	14	0	5	0	4	1.6715	0	1.7355	0	1.6788	2	1.7512	1
21	12	2	5	0	2	1.6788	0	1.7428	0	1.6862	3	1.7586	0
11	4	1	9	0	4	1.6862	3	1.7502	0	1.6935	5	1.7659	0
18	5	3	7	0	3	1.6935	3	1.7575	0	1.7008	1	1.7732	0
23	3	4	5	0	5	1.7008	1	1.7648	0	1.7082	3	1.7805	0
20	7	2	7	0	4	1.7082	1	1.7722	0	1.7155	4	1.7879	0
21	9	1	7	0	5	1.7155	0	1.7795	0	1.7228	5	1.7952	0
18	10	1	6	0	2	1.7228	0	1.7868	0	1.7302	2	1.8025	1
12	12	2	7	0	2	1.7302	2	1.7942	0	1.7375	2	1.8099	0
13	7	0	4	0	2	1.7375	0	1.8015	1	1.7448	3	1.8172	0
28	9	2	8	0	6	1.7448	4	1.8088	0	1.7522	3	1.8245	0
21	11	1	4	0	4	1.7522	3	1.8162	0	1.7595	1	1.8319	0
19	7	6	5	0	2	1.7595	1	1.8235	0	1.7668	2	1.8392	0
19	8	1	5	0	2	1.7668	1	1.8308	1	1.7742	0	1.8465	0
19	6	4	7	0	2	1.7742	3	1.8382	0	1.7815	2	1.8539	0
7	13	6	5	0	3	1.7815	0	1.8455	0	1.7888	3	1.8612	0
27	8	0	3	0	5	1.7888	1	1.8528	1	1.7961	1	1.8685	0
27	5	6	4	0	5	1.7961	0	1.8601	0	1.8035	3	1.8758	0
19	8	2	6	0	5	1.8035	1	1.8675	0	1.8108	2	1.8832	1
22	12	2	7	0	4	1.8108	2	1.8748	0	1.8181	1	1.8905	0
16	9	1	8	0	3	1.8181	3	1.8821	0	1.8255	2	1.8978	2
16	8	4	3	0	4	1.8255	2	1.8895	0	1.8328	4	1.9052	0
18	6	2	7	0	4	1.8328	0	1.8968	0	1.8401	4	1.9125	0
20	7	7	5	0	6	1.8401	0	1.9041	1	1.8475	2	1.9198	0
12	12	1	5	0	4	1.8475	2	1.9115	0	1.8548	2	1.9272	0
18	9	2	5	0	5	1.8548	1	1.9188	0	1.8621	1	1.9345	0
