PicoQuant	FluoFit	4.4.0.1				
Saved	:	08/04/2011	16:23:43			
Model:	Exp.	[Reconv.]	(Exponential)			
t[ns]	Intens.	t[ns]	Intens.			
5.2125	6186	5.2849	0			
5.2198	6104	5.2922	0			
5.2272	6036	5.2995	1			
5.2345	6140	5.3069	0			
5.2418	6078	5.3142	0			
5.2492	6085	5.3215	0			
5.2565	6098	5.3289	1			
5.2638	5968	5.3362	0			
5.2711	6073	5.3435	0			
5.2785	6113	5.3508	0			
5.2858	6105	5.3582	0			
5.2931	5948	5.3655	0			
5.3005	6012	5.3728	0			
5.3078	6008	5.3802	0			
5.3151	5881	5.3875	0			
5.3225	6024	5.3948	0			
5.3298	5946	5.4022	1			
5.3371	5898	5.4095	0			
5.3445	5926	5.4168	0			
5.3518	5896	5.4242	0			
5.3591	5928	5.4315	0			
5.3665	5845	5.4388	0			
5.3738	5829	5.4462	1			
5.3811	5916	5.4535	0			
5.3884	5785	5.4608	0			
5.3958	5895	5.4681	0			
5.4031	5844	5.4755	0			
5.4104	5859	5.4828	0			
5.4178	5816	5.4901	0			
5.4251	5821	5.4975	0			
5.4324	5718	5.5048	0			
5.4398	5697	5.5121	0			
5.4471	5806	5.5195	0			
5.4544	5751	5.5268	0			
5.4618	5914	5.5341	0			
5.4691	5744	5.5415	0			
5.4764	5751	5.5488	0			
5.4838	5572	5.5561	0			
5.4911	5568	5.5635	0			
5.4984	5664	5.5708	1			
5.5057	5633	5.5781	0			
5.5131	5725	5.5854	0			
5.5204	5632	5.5928	0			
5.5277	5795	5.6001	0			
5.5351	5576	5.6074	0			
5.5424	5632	5.6148	0			
5.5497	5693	5.6221	0			
5.5571	5454	5.6294	0			
5.5644	5598	5.6368	0			
5.5717	5575	5.6441	1			
5.5791	5627	5.6514	0			
5.5864	5607	5.6588	0			
5.5937	5438	5.6661	0			
5.6011	5551	5.6734	0			
5.6084	5434	5.6808	0			
5.6157	5543	5.6881	0			
5.623	5458	5.6954	0			
5.6304	5560	5.7027	0			
5.6377	5433	5.7101	0			
5.645	5463	5.7174	1			
5.6524	5528	5.7247	0			
5.6597	5401	5.7321	0			
5.667	5432	5.7394	0			
5.6744	5405	5.7467	0			
5.6817	5498	5.7541	0			
5.689	5458	5.7614	1			
5.6964	5381	5.7687	0			
5.7037	5472	5.7761	0			
5.711	5422	5.7834	0			
5.7184	5301	5.7907	0			
5.7257	5385	5.7981	0			
5.733	5325	5.8054	1			
5.7403	5328	5.8127	0			
5.7477	5258	5.82	0			
5.755	5430	5.8274	0			
5.7623	5185	5.8347	0			
5.7697	5316	5.842	0			
5.777	5193	5.8494	1			
5.7843	5307	5.8567	0			
5.7917	5273	5.864	0			
5.799	5213	5.8714	0			
5.8063	5306	5.8787	0			
5.8137	5279	5.886	0			
5.821	5198	5.8934	0			
5.8283	5104	5.9007	0			
5.8357	5090	5.908	0			
5.843	5052	5.9154	0			
5.8503	5077	5.9227	0			
5.8576	5297	5.93	0			
5.865	4949	5.9373	1			
5.8723	5129	5.9447	0			
5.8796	5167	5.952	0			
5.887	5051	5.9593	0			
5.8943	5096	5.9667	0			
5.9016	5051	5.974	0			
5.909	5067	5.9813	0			
5.9163	5037	5.9887	0			
5.9236	5001	5.996	0			
5.931	4983	6.0033	0			
5.9383	5037	6.0107	0			
5.9456	5081	6.018	0			
5.953	5194	6.0253	0			
5.9603	5000	6.0327	0			
5.9676	5140	6.04	0			
5.9749	4930	6.0473	0			
5.9823	5015	6.0546	1			
5.9896	5042	6.062	1			
5.9969	5064	6.0693	0			
6.0043	4976	6.0766	1			
6.0116	5009	6.084	0			
6.0189	4995	6.0913	0			
6.0263	4902	6.0986	0			
6.0336	4948	6.106	0			
6.0409	4949	6.1133	0			
6.0483	4907	6.1206	1			
6.0556	4964	6.128	0			
6.0629	4942	6.1353	0			
6.0703	4790	6.1426	0			
6.0776	4823	6.15	0			
6.0849	4746	6.1573	0			
6.0922	4851	6.1646	0			
6.0996	4803	6.1719	1			
6.1069	4788	6.1793	0			
6.1142	4895	6.1866	0			
6.1216	4638	6.1939	0			
6.1289	4729	6.2013	0			
6.1362	4687	6.2086	0			
6.1436	4773	6.2159	0			
6.1509	4668	6.2233	0			
6.1582	4788	6.2306	0			
6.1656	4728	6.2379	0			
6.1729	4643	6.2453	0			
6.1802	4792	6.2526	0			
6.1876	4683	6.2599	0			
6.1949	4644	6.2673	0			
6.2022	4733	6.2746	0			
6.2095	4685	6.2819	0			
6.2169	4670	6.2892	0			
6.2242	4572	6.2966	0			
6.2315	4596	6.3039	1			
6.2389	4670	6.3112	0			
6.2462	4580	6.3186	0			
6.2535	4484	6.3259	0			
6.2609	4515	6.3332	0			
6.2682	4530	6.3406	0			
6.2755	4502	6.3479	0			
6.2829	4564	6.3552	0			
6.2902	4526	6.3626	0			
6.2975	4683	6.3699	0			
6.3049	4606	6.3772	0			
6.3122	4533	6.3846	0			
6.3195	4390	6.3919	0			
6.3268	4570	6.3992	0			
6.3342	4617	6.4065	0			
6.3415	4495	6.4139	0			
6.3488	4501	6.4212	0			
6.3562	4554	6.4285	0			
6.3635	4442	6.4359	0			
6.3708	4405	6.4432	0			
6.3782	4378	6.4505	0			
6.3855	4350	6.4579	0			
6.3928	4365	6.4652	0			
6.4002	4386	6.4725	0			
